zip_code,population,median_income,median_age
02896,11449.0,100669.0,47.0
02898,1857.0,111167.0,45.7
02903,12039.0,57850.0,35.3
02904,31214.0,61853.0,39.0
02905,25674.0,53668.0,34.6
02906,26437.0,98563.0,34.9
02907,32697.0,46010.0,32.4
02908,39099.0,68268.0,34.9
02909,42629.0,58085.0,30.8
02910,23598.0,86709.0,36.5
02911,15866.0,78115.0,38.1
02912,4809.0,,19.8
02914,21742.0,60343.0,41.5
02915,16415.0,82546.0,46.8
02916,8855.0,92602.0,41.7
02917,14868.0,94531.0,37.5
02918,2960.0,,20.0
02919,29453.0,83408.0,43.6
02920,36907.0,70076.0,41.2
02921,12205.0,123066.0,42.7
03031,11814.0,152796.0,46.2
03032,5949.0,138750.0,45.8
03033,5659.0,163628.0,37.6
03034,4202.0,117500.0,47.0
03036,5237.0,135326.0,46.2
03037,4700.0,118606.0,42.3
03038,34506.0,94655.0,39.3
03042,7180.0,96558.0,46.1
03043,1444.0,104500.0,50.9
03044,4738.0,121583.0,43.3
03045,14165.0,109452.0,45.0
03046,3000.0,138036.0,43.8
03047,1784.0,99583.0,48.9
03048,3489.0,86914.0,45.3
03049,8429.0,155339.0,48.3
03051,25385.0,125216.0,45.6
03052,8484.0,134000.0,41.8
03053,25780.0,129571.0,42.0
03054,27139.0,120730.0,41.7
03055,16151.0,84912.0,37.8
03057,2607.0,156389.0,43.8
03060,31469.0,69452.0,35.6
03062,28866.0,101433.0,42.9
03063,15941.0,103466.0,39.4
03064,14667.0,83780.0,43.4
03070,6099.0,137813.0,40.7
03071,5244.0,91824.0,37.6
03076,14221.0,121875.0,42.5
03077,10773.0,91520.0,42.6
03079,30350.0,101856.0,44.2
03082,1606.0,114107.0,48.9
03084,1372.0,93194.0,46.4
03086,4116.0,89113.0,46.5
03087,15764.0,171563.0,42.1
03101,3228.0,74146.0,36.5
03102,33759.0,66064.0,35.5
03103,37093.0,68344.0,36.2
03104,34962.0,80018.0,36.9
03106,14654.0,100711.0,39.2
03109,10374.0,94818.0,43.8
03110,23385.0,151850.0,44.0
03215,248.0,89276.0,59.4
03216,2041.0,85909.0,45.1
03217,2239.0,53367.0,32.3
03218,1535.0,88188.0,42.7
03220,7454.0,72642.0,47.2
03221,2263.0,95104.0,44.0
03222,5894.0,76497.0,49.2
03223,3380.0,107500.0,42.7
03224,2343.0,114167.0,47.8
03225,3406.0,91111.0,44.5
03226,820.0,100192.0,63.5
03227,1461.0,136371.0,61.8
03229,5925.0,115682.0,45.1
03230,1491.0,62500.0,48.4
03231,110.0,135625.0,57.0
03233,209.0,125968.0,65.5
03234,4846.0,90805.0,45.6
03235,8827.0,66997.0,44.6
03237,2338.0,98542.0,42.5
03238,81.0,44398.0,57.8
03240,1200.0,72500.0,49.9
03241,1144.0,103750.0,55.5
03242,6094.0,76681.0,34.0
03243,902.0,81136.0,48.6
03244,7666.0,82647.0,45.0
03245,2125.0,78500.0,44.9
03246,16943.0,68024.0,43.8
03249,7725.0,112522.0,46.8
03251,1474.0,63813.0,48.2
03253,6701.0,65490.0,55.3
03254,4996.0,89728.0,55.5
03255,1899.0,117500.0,48.5
03256,2591.0,73456.0,51.0
03257,4381.0,84891.0,50.7
03258,2659.0,119028.0,45.4
